vehicle_brand,year,engine_capacity,miles_driven,selling_price,pin_code
Volkswagen,2016,2,1,34899.13635,16801
Toyota,2016,2,1,35138.2941,22207
BMW,2016,2,1,37976.25,46911
Volkswagen,2016,2,1,38365,55105
Volkswagen,2016,2,1,39615,38555
BMW,2016,2,1,40755,55104
BMW,2016,2,1,43163.25,33436
BMW,2016,2,1,43719,25302
BMW,2016,2,1,47500,55448
BMW,2016,2,1,48535.5,2115
Audi,2016,2,1,52055.25,55902
Audi,2016,2,1,63200,55109
BMW,2016,2,1,65099,55410
BMW,2016,2,1,65393.25,55113
BMW,2016,2,1,66500,55434
BMW,2016,2,1,66666,80207
BMW,2016,2,1,67431,28001
Toyota,2016,1.8,1,24842.025,8035
Volkswagen,2016,1.6,1,12114.34965,60115
Volkswagen,2016,1.6,1,13300.95,92625
Volkswagen,2016,1.6,1,13893.75,55107
Volkswagen,2016,1.6,1,13972.0737,98103
Volkswagen,2016,1.6,1,16999,94115
Volkswagen,2016,1.6,1,17191.2,55126
Toyota,2016,1.6,1,20711.2464,78757
Volkswagen,2016,1.6,1,23999,55405
Volkswagen,2016,1.6,1,23999,20037
Volkswagen,2016,1.6,1,28660,55402
Volkswagen,2016,1.6,1,28793.037,55427
Mercedes-Benz,2016,1.6,1,47000,55122
Mercedes-Benz,2016,1.6,1,57000,43214
Mercedes-Benz,2016,1.6,1,65000,55112
Renault,2016,1.5,1,13300.95,55303
Renault,2016,1.5,1,13321.3275,55030
Renault,2016,1.5,1,15635.1,53705
Renault,2016,1.5,1,15672.15,55129
Renault,2016,1.5,1,15820.35,32940
Renault,2016,1.5,1,18932.55,55105
Renault,2016,1.5,1,18988.125,55108
Renault,2016,1.5,1,19692.075,55117
Renault,2016,1.5,1,20996.235,24523
Audi,2016,1.4,1,34419.45,54720
Toyota,2016,1.33,1,17394.0858,55102
Renault,2016,1.2,1,11403.99,55105
Renault,2016,1.2,1,17639.46795,54703
Toyota,2016,4.5,1,73900,55313
Toyota,2016,4.5,1,74999,55416
Toyota,2016,4.5,1,85000,55455
Toyota,2016,3.5,1,68500,55075
BMW,2016,3,1,77500,55112
BMW,2016,3,1,77500,55410
Mercedes-Benz,2016,3,1,81500,55042
Mercedes-Benz,2016,3,1,104999,55422
Mercedes-Benz,2016,3,1,105000,55305
Mercedes-Benz,2016,3,1,109999,55105
Mercedes-Benz,2016,2.99,1,129999,55455
Toyota,2016,2.8,1,39500,56043
Toyota,2016,2.8,1,43999,55126
Toyota,2016,2.5,1,24171.42,17003
Mitsubishi,2016,2.5,1,25342.2,37815
Mitsubishi,2016,2.5,1,27565.2,55405
BMW,2016,2.5,1,67500,55125
Mercedes-Benz,2016,2.2,1,74999,55119
Toyota,2016,2,1,20859.15,55406
Mitsubishi,2016,2,1,22711.65,55033
Volkswagen,2016,2,1,28900,55104
Audi,2016,2,1,43000,91320
BMW,2016,2,1,56500,94806
BMW,2016,2,1,60500,92009
BMW,2016,2,1,62000,22206
BMW,2016,2,1,62900,27514
BMW,2016,2,1,63500,7704
BMW,2016,2,1,64500,15213
BMW,2016,2,1,65500,5849574
BMW,2016,2,1,66500,53217
BMW,2016,2,1,67500,21559
BMW,2016,2,1,67500,55116
BMW,2016,2,1,69999,94086
Volkswagen,2016,1.6,1,14500,55108
Toyota,2016,1.6,1,16672.5,81335
Volkswagen,2016,1.6,1,23999,49419
Volkswagen,2016,1.6,1,24300,98119
Volkswagen,2016,1.6,1,24900,67042
Volkswagen,2016,1.6,1,24900,53703
Renault,2016,1.5,1,18456.1611,92649
Audi,2016,1.4,1,29602.95,23220
Audi,2016,1.4,1,44000,76201
Renault,2016,1.2,1,9658.935,53711
Toyota,2016,1,1,11707.8,6320
Mercedes-Benz,2016,5.5,2,195000,20715
BMW,2016,5,2,129222,13210
Toyota,2016,4.6,2,97500,92612
BMW,2016,4.4,2,137000,75207
Volkswagen,2016,3,2,61000,77005
BMW,2016,3,2,104999,97132
BMW,2016,3,2,104999,55116
BMW,2016,2,2,42900,49445
BMW,2016,2,2,42900,20895
Volkswagen,2016,1.6,2,21500,92106
Volkswagen,2016,1.6,2,24800,70507
Audi,2016,1.4,2,30999,13114
Mercedes-Benz,2016,5.5,3,249999,61761
Toyota,2016,4.5,3,88000,10023
Mercedes-Benz,2016,3,3,86000,94122
Mercedes-Benz,2016,2.2,3,85000,29681
BMW,2016,2,3,52222,30501
Volkswagen,2016,1.6,3,24000,27510
Toyota,2016,3,4,46500,13407
BMW,2016,3,4,115800,90717
Volkswagen,2016,1.6,4,19100,96813
BMW,2016,2,5,39900,85207
BMW,2016,2,5,42000,76401
BMW,2016,2,5,46000,73505
Mercedes-Benz,2016,5.5,6,250000,1002
BMW,2016,2,6,39333,90808
BMW,2016,2,10,47300,85207
Volkswagen,2016,1.4,11,29600,80521
Volkswagen,2016,1.4,11,33700,75070
Toyota,2016,1,17,10500,97520
Renault,2016,1.5,20,17500,85284
BMW,2016,2,29,45000,7030
BMW,2016,2,30,59900,30034
Volkswagen,2016,3,47,55500,60660
Toyota,2015,4.5,1,164500,77007
Volkswagen,2015,3,1,74500,95019
Audi,2015,3,1,75000,60098
Audi,2015,3,1,88888,56303
Audi,2015,3,1,89999,97401
Mercedes-Benz,2015,2.2,1,50250,94002
Volkswagen,2015,2,1,28713.75,94114
Volkswagen,2015,2,1,29800,85296
BMW,2015,2,1,63000,74467
Volkswagen,2015,1.6,1,11962,98499
Volkswagen,2015,1.4,1,29040,75087
Toyota,2015,1.3,1,13621.4325,48108
Volkswagen,2015,5,1,69990,22903
Mercedes-Benz,2015,4.7,1,169000,60156
Volkswagen,2015,3,1,74000,11040
Toyota,2015,2.7,1,33715.5,29307
Volkswagen,2015,2,1,27200,27511
Volkswagen,2015,2,1,69990,1002
Mitsubishi,2015,1.8,1,23900,37043
Volkswagen,2015,1.6,1,10974.21,98237
Volkswagen,2015,1.6,1,20477.535,95776
Renault,2015,1.6,1,24193.65,98006
Mercedes-Benz,2015,1.6,1,45000,92108
BMW,2015,1.5,1,33500,94530
Volkswagen,2015,1.4,1,21500,39532
Volkswagen,2015,1.4,1,40000,53711
Renault,2015,1.2,1,10396.23,46825
Volkswagen,2015,1.6,2,18600,98103
Renault,2015,1.5,2,20007,2828
Mercedes-Benz,2015,2.2,3,57000,92119
Audi,2015,3,4,90999,49321
BMW,2015,0.65,5,38888,92121
BMW,2015,4.4,7,133000,80209
Toyota,2015,2.5,7,30500,60640
BMW,2015,2,7,52000,55447
Mercedes-Benz,2015,4.6,8,160000,44092
BMW,2015,3,10,85555,10019
BMW,2015,3,10,85555,97205
Audi,2015,1.8,11,43000,95814
Mercedes-Benz,2015,3,14,126000,01702-7224
Mercedes-Benz,2015,2.2,14,75500,92026
Toyota,2015,2.5,15,28900,2144
Toyota,2015,2.5,15,30900,14830
Mercedes-Benz,2015,5.5,16,104000,10024
BMW,2015,3,16,72900,90066
BMW,2015,3,16,75000,75165
BMW,2015,3,16,112000,92308
Toyota,2015,2.5,16,28500,92117
BMW,2015,4.4,17,89999,91324
Mercedes-Benz,2015,3,17,125000,92056
Toyota,2015,2.5,17,26250,48073
Mercedes-Benz,2015,3,18,125000,98199
Mercedes-Benz,2015,3,18,125000,53706
Audi,2015,1.8,18,39000,97401
BMW,2015,3,19,85900,60538
BMW,2015,2.5,19,71500,48103-8929
Audi,2015,3,21,69999,43056
Toyota,2015,2.5,21,27700,29706
Toyota,2015,2.5,22,32000,48116
Toyota,2015,2.5,22,32000,45244
Audi,2015,3,24,62000,48197
Mercedes-Benz,2015,3,25,116500,10954
Volkswagen,2015,2,25,20900,43615
BMW,2015,2,26,45500,98136
Toyota,2015,2.2,29,28800,92014
Volkswagen,2015,3,30,51900,99224
Volkswagen,2015,3,30,51900,92129
Volkswagen,2015,3,30,51900,92109
BMW,2015,3,33,63500,62558
Volkswagen,2015,2,35,25900,19320
Volkswagen,2015,3,36,55500,10310
Toyota,2015,2.2,38,28500,3054
Volkswagen,2015,2,38,28500,11220
Mercedes-Benz,2015,3,39,115555,30906
Mercedes-Benz,2015,2.2,39,40500,95616
Mercedes-Benz,2015,1.6,39,38200,60640
Audi,2015,3,40,85555,77005
Toyota,2015,2.5,43,24800,3848
Toyota,2015,3.5,45,45500,19803
Mitsubishi,2015,2.5,45,23800,19425
Toyota,2015,4.6,50,75500,15956
Mercedes-Benz,2015,4.66,54,135555,28036
Volkswagen,2015,1.8,56,10000,20194
Toyota,2015,2.5,58,25500,76309
Toyota,2015,2.5,58,25800,75225
BMW,2015,2,64,58000,60513
Toyota,2015,3,70,51500,97321
Volkswagen,2014,2,1,30385,97213
Volkswagen,2014,2,1,31310,46060
Volkswagen,2014,2,1,38764,59457
Volkswagen,2014,2,1,39040,77581
BMW,2014,3,1,77777,60660
Mercedes-Benz,2014,3,1,169000,95661
Volkswagen,2014,2,1,31500,3226
Volkswagen,2014,1.6,1,11818.95,98103
Volkswagen,2014,1.4,1,10493,94105
Toyota,2014,3,2,36500,92626
Mercedes-Benz,2014,1.6,3,35300,94945
BMW,2014,2,5,47000,77059
BMW,2014,2,5,47000,6417
BMW,2014,4.4,8,77777,48105
BMW,2014,4.4,8,77777,93003
Mercedes-Benz,2014,3,9,125000,44319
Renault,2014,1.6,10,13500,97215
Volkswagen,2014,1,11,12650,60551
Toyota,2014,2.5,12,22500,10017
Audi,2014,1.8,12,39900,90504
Audi,2014,1.8,14,33900,95616
Mercedes-Benz,2014,1.8,15,28500,78701
Volkswagen,2014,1.2,15,17200,60156
BMW,2014,3,16,70000,13031
Mercedes-Benz,2014,3,16,144900,72701
Renault,2014,1.2,16,8250,90038
Volkswagen,2014,3,19,52300,19114
Toyota,2014,5.7,20,38500,13165
Audi,2014,3,20,68000,43623
BMW,2014,3,20,75000,75226
Volkswagen,2014,2,20,35000,97213
Toyota,2014,1.6,20,16900,45014
Renault,2014,1.5,21,15000,94402
Mercedes-Benz,2014,3,22,121500,10023
Mercedes-Benz,2014,1.8,22,26000,61801
Volkswagen,2014,1.2,22,20200,91780
Volkswagen,2014,1.2,22,21000,44256
Toyota,2014,4.5,23,80000,48186
BMW,2014,4.4,23,81000,95503
Audi,2014,2.8,24,55000,20716
Toyota,2014,2.5,25,14000,91326
Volkswagen,2014,1.2,26,16000,44077
Mercedes-Benz,2014,3,27,119000,97006
Audi,2014,3,28,51500,6417
Toyota,2014,1.6,28,19900,95076
Toyota,2014,4.5,29,76500,94127
Mitsubishi,2014,2,29,21000,10027
Volkswagen,2014,1.4,29,9500,90292
BMW,2014,4.4,30,75555,13207
BMW,2014,4.4,30,75555,2125
BMW,2014,4.4,30,75555,61081
Mitsubishi,2014,2.5,30,5500,7087
Toyota,2014,2.5,30,24900,94720
Volkswagen,2014,2,30,30900,60515
Toyota,2014,1.6,30,17700,11215
Toyota,2014,1.6,30,18300,50111
Mercedes-Benz,2014,1.6,30,39500,10014
Audi,2014,1.8,32,31700,92627
BMW,2014,2,33,35500,22030
BMW,2014,2,33,36500,98225
BMW,2014,2,33,42000,94598
BMW,2014,2,33,46800,94587
Audi,2014,1.8,35,33500,28262
Toyota,2014,1.6,35,17900,53711
Mercedes-Benz,2014,5.5,36,85000,49321
Mercedes-Benz,2014,4.7,37,129999,18104
Mercedes-Benz,2014,2.2,38,42000,12203
Volkswagen,2014,2,38,16950,19123
Toyota,2014,1.33,38,13200,37343
Toyota,2014,2.2,39,30600,6360
Renault,2014,1.5,39,10200,98502
Toyota,2014,4.5,40,72000,98125
Mercedes-Benz,2014,3,40,109900,78750
Toyota,2014,2,40,23300,10011
Mercedes-Benz,2014,1.8,40,28950,60074
Mercedes-Benz,2014,2.2,42,72700,33615
BMW,2014,2,42,45500,10475
Mercedes-Benz,2014,1.6,42,38000,94111
Toyota,2014,3,43,52500,94121
Volkswagen,2014,2,43,13500,98028
Toyota,2014,1.3,43,9003.15,7030
Audi,2014,3,44,51000,12065
Audi,2014,3,44,56000,2840
Toyota,2014,3,45,47500,6460
Toyota,2014,3,45,47500,14228
BMW,2014,3,45,56500,85275
Audi,2014,2,45,39999,14302
Audi,2014,2,45,39999,91324
Audi,2014,2,45,39999,13088
Toyota,2014,1.8,45,18950,61665
Toyota,2014,1.6,45,17500,91403
BMW,2014,3,47,57000,19806
Mercedes-Benz,2014,4.7,49,115000,99352
Volkswagen,2014,2,50,32400,90006
Mercedes-Benz,2014,3,51,43500,94530
Mercedes-Benz,2014,3,51,43500,10804
Mercedes-Benz,2014,3,51,43500,8107
Toyota,2014,2.5,51,24000,94089
Volkswagen,2014,1.4,51,13708.5,98122
BMW,2014,2,55,37500,22901
Mercedes-Benz,2014,2.2,56,38500,98101
Volkswagen,2014,2,56,20500,53704
BMW,2014,4.4,58,65000,55934
Audi,2014,2,58,33900,8540
Volkswagen,2014,1.4,58,21550,21401
Toyota,2014,3,59,48000,94549
Volkswagen,2014,2,59,49999,89102
Toyota,2014,2.5,60,24000,94520
Volkswagen,2014,1.8,60,25999,12345
Volkswagen,2014,3,63,42500,10128
Renault,2014,2,64,10100,80521
BMW,2014,2,65,32500,17522
Renault,2014,1.5,65,11999,17112
Renault,2014,1.5,66,8250,90012
Mercedes-Benz,2014,3,68,68500,95472
Mercedes-Benz,2014,3,69,69900,92612-3417
Mercedes-Benz,2014,3,69,82555,94118
Toyota,2014,2.5,69,23400,75075
Mitsubishi,2014,2.4,69,22900,90601
Mitsubishi,2014,2.4,69,22900,94132
BMW,2014,3,70,66200,54481
BMW,2014,3,70,66900,60201
Renault,2014,1.5,70,7750,77341
BMW,2014,2,74,38000,8550
Renault,2014,1.5,78,9500,94539
Volkswagen,2014,3,80,49500,10002
Toyota,2014,2.5,80,23500,78230
Volkswagen,2014,2,80,23999,53711
Mercedes-Benz,2014,5.5,82,137000,83001
Mercedes-Benz,2014,3,84,69500,2115
Toyota,2014,2.2,86,31000,20008
Volkswagen,2014,1.6,88,9599,10021
Volkswagen,2014,2,90,27000,48073
Audi,2014,3,95,44800,78731
Renault,2014,1.5,98,14500,7701
Audi,2014,3,100,44800,98033
Toyota,2014,2.5,100,23700,60201
Audi,2014,2,105,35900,45701
Volkswagen,2014,1.6,105,10200,30308
Volkswagen,2014,1.6,117,9800,95003
Renault,2014,1.5,120,8499,26501
Volkswagen,2014,2,121,16900,50111
Volkswagen,2014,2,129,29999,92646
Renault,2014,1.5,129,7899,6830
Renault,2014,1.5,137,8300,61801
Mercedes-Benz,2014,2.2,160,26800,90027
Renault,2014,1.5,160,8550,44139
Volkswagen,2013,2.2,1,18300,48843
Toyota,2013,4.2,3,63000,11423
Mercedes-Benz,2013,1.6,5,99000,90028
Toyota,2013,4,11,39900,94514
Mercedes-Benz,2013,1.8,12,28000,94120
Renault,2013,1.2,12,9200,60612
Mercedes-Benz,2013,3,16,61500,95405
Toyota,2013,2.5,16,24000,95405
BMW,2013,2,17,36900,62002
Toyota,2013,2.5,18,20900,85202
Mercedes-Benz,2013,3.5,19,200000,94114
Renault,2013,1.2,19,8299,94577
BMW,2013,3.5,20,57000,98368
Mitsubishi,2013,2.5,20,24000,91301
Toyota,2013,2.5,20,28900,95380
Toyota,2013,2,21,26500,78705
BMW,2013,3,23,51500,98102
Volkswagen,2013,1.4,23,18200,95833
Audi,2013,3,27,51500,98116
Mercedes-Benz,2013,6.3,30,219900,95765
Mercedes-Benz,2013,5,30,99999,98052
Mercedes-Benz,2013,3.5,30,50800,97233
Toyota,2013,1.6,30,18100,97303
Volkswagen,2013,1.4,30,20300,73003
Mercedes-Benz,2013,5.5,33,219900,30307
Toyota,2013,4.5,33,63333,94720
Mercedes-Benz,2013,1.6,33,31600,13655
Renault,2013,1.5,34,5000,43725
Audi,2013,1.4,34,21000,77079
Audi,2013,2,35,30650,91107
BMW,2013,2,37,34400,8109
Toyota,2013,1.4,37,12900,50325
BMW,2013,2,38,27900,4240
Mercedes-Benz,2013,4.6,40,55000,10040
Toyota,2013,3.5,40,35555,90803
Mitsubishi,2013,2,40,12900,33067-1400
Volkswagen,2013,1.4,40,22000,90016
Audi,2013,2,42,33500,75230
BMW,2013,1.6,42,22100,75067
Toyota,2013,1.3,42,13000,70115
BMW,2013,4.4,43,68500,22181
Mitsubishi,2013,2.4,43,22800,19104
Renault,2013,1.5,43,7500,20878
Audi,2013,3,44,49500,52003
Toyota,2013,2,44,19800,70118
Toyota,2013,4.6,45,30950,22903
Volkswagen,2013,2,45,18900,8825
Volkswagen,2013,2,45,22900,48103
BMW,2013,2,45,34500,50265
BMW,2013,2,45,37500,43560
Mercedes-Benz,2013,4.6,47,115000,7030
BMW,2013,2,47,26800,10016
Audi,2013,1.2,47,16800,8817
Audi,2013,1.2,47,16800,53190
Volkswagen,2013,2,48,22900,10014
Toyota,2013,1.4,48,13700,90048
Toyota,2013,5.7,50,32950,95148
Volkswagen,2013,2,50,28500,2127
Volkswagen,2013,2,50,55555,95076
Volkswagen,2013,2,50,55555,90069
Toyota,2013,1.6,50,17200,29732
Toyota,2013,3,51,42900,91006
Volkswagen,2013,2,51,22200,92352
Volkswagen,2013,1.6,51,9000,93108
Volkswagen,2013,1.6,51,11500,80023
Toyota,2013,1.6,51,14850,94702
Mercedes-Benz,2013,3,52,49500,90066
Mitsubishi,2013,2,52,18600,94602
Mitsubishi,2013,2,52,18700,89119
Mitsubishi,2013,1.6,52,12400,92115
Audi,2013,6.3,53,73500,94530
Volkswagen,2013,2,53,55555,2135
Volkswagen,2013,2,53,55555,95129
BMW,2013,3,55,52300,89146
BMW,2013,3,55,52300,92805
Toyota,2013,2.5,55,22800,91325
Mercedes-Benz,2013,2.2,55,29500,95051
Volkswagen,2013,1.4,56,15800,90405
BMW,2013,4.4,57,73900,80122
Mitsubishi,2013,2.5,57,22500,95404
Volkswagen,2013,2,57,27000,94501
Renault,2013,1.2,57,8500,95158
Volkswagen,2013,2,58,21000,94550
Volkswagen,2013,1.6,59,9000,91501
Toyota,2013,4.5,60,65000,94110
Volkswagen,2013,3,60,44600,94041
Toyota,2013,2.2,60,29000,91030
BMW,2013,2,60,23900,53092
Mercedes-Benz,2013,1.8,60,24950,89523
Toyota,2013,1.6,60,14300,92116
Renault,2013,1.5,61,14700,92111
BMW,2013,4.4,62,69500,6460
Toyota,2013,3,62,37700,80303
Toyota,2013,2,63,21800,92130
Volkswagen,2013,2,63,55555,85224
Volkswagen,2013,2,63,55555,48309
Audi,2013,3,64,47000,85621
Mercedes-Benz,2013,2.2,64,34900,24018
Mercedes-Benz,2013,1.6,64,29500,2113
Toyota,2013,5.7,65,33950,44685
Audi,2013,2.99,65,55000,80442
BMW,2013,2,65,33500,48220
BMW,2013,2,65,34900,81520
Volkswagen,2013,1.6,65,10650,60543
Toyota,2013,2.2,66,28600,1003
Audi,2013,3,67,53700,46214
Mitsubishi,2013,2,67,19800,45011
Volkswagen,2013,2,67,30000,56001
Renault,2013,1.5,68,6900,77345
Volkswagen,2013,1.4,68,19995,33301
BMW,2013,3,69,22600,60060
Mercedes-Benz,2013,2,69,34000,24015
Toyota,2013,1.6,69,11750,79358
Mercedes-Benz,2013,3,70,83000,91711
Volkswagen,2013,2,70,11500,6437
Renault,2013,1.5,70,10200,99504
Volkswagen,2013,1.2,71,10000,43138
BMW,2013,3,73,64900,1020
BMW,2013,2,73,30500,1605
Toyota,2013,1.6,73,18600,13148
Volkswagen,2013,2,74,20700,64920
Audi,2013,3,75,42700,23186
Audi,2013,3,75,48000,49006
Renault,2013,2,75,13000,48067
Volkswagen,2013,2,75,23000,24017
Audi,2013,2,75,38500,48825
BMW,2013,1.6,79,21000,24060
Toyota,2013,4,80,45000,495321
Audi,2013,3,80,49700,13090
BMW,2013,3,80,58500,46802
BMW,2013,3,80,58500,10036
Audi,2013,2,80,31500,61614
Volkswagen,2013,1.4,80,15500,33615
Toyota,2013,2.7,82,32900,46804
Toyota,2013,3,84,35900,81301
Mercedes-Benz,2013,3,85,50900,97405
Volkswagen,2013,2,85,27000,68508
Volkswagen,2013,1.4,85,14800,45244
Toyota,2013,3.5,86,28999,95826
Mercedes-Benz,2013,1.8,86,23700,32836
Volkswagen,2013,1.2,86,9800,60202
Renault,2013,1.4,87,6800,87502
Mercedes-Benz,2013,5.46,88,140000,99217
Renault,2013,1.5,89,13900,73505
Audi,2013,3,90,48000,28304
BMW,2013,3,90,55500,45245
Audi,2013,2.8,92,35000,27502
Toyota,2013,2.2,92,28350,60641
Renault,2013,1.5,92,7999,60016
Toyota,2013,1.6,93,11750,46804
Mercedes-Benz,2013,2.2,95,31500,10006
Volkswagen,2013,2.5,96,17900,88005-4313
Mercedes-Benz,2013,2.2,97,13500,60060
Toyota,2013,2.2,98,27800,13088
Volkswagen,2013,2,98,22000,85726
Volkswagen,2013,1.6,98,10000,60187
Toyota,2013,1.6,98,14700,14905
Toyota,2013,4.5,100,61000,86701
Mitsubishi,2013,3.2,100,28800,60565
Toyota,2013,2.5,102,26500,60613
Volkswagen,2013,2,103,13700,60466
Audi,2013,2,103,32000,60626
Toyota,2013,2.5,105,20500,46815
Toyota,2013,2.5,105,27000,33317
Volkswagen,2013,2,105,4000,70503
Renault,2013,2,106,10450,37877
Volkswagen,2013,1.6,106,18800,39211
Renault,2013,2,107,11999,8816
Audi,2013,2,108,30999,48104
Volkswagen,2013,1.6,108,8650,13090
Renault,2013,1,108,7600,13066
Volkswagen,2013,2,110,18000,22923
Mercedes-Benz,2013,2.2,116,12800,2478
Mercedes-Benz,2013,2.2,116,16800,8055
Audi,2013,2,118,30900,94103
Audi,2013,2,118,34000,2138
Audi,2013,2,119,34000,8901
Volkswagen,2013,3.5,120,44700,48103-4711
Toyota,2013,3.5,120,44700,57108
Toyota,2013,1.4,120,11950,13088
Mercedes-Benz,2013,3,121,61500,50321
Renault,2013,1.5,121,10499,48104
Renault,2013,2,122,11400,1545
Volkswagen,2013,1.4,122,13900,1562
Volkswagen,2013,1.4,123,13900,13146
Volkswagen,2013,2,124,13500,13152
Volkswagen,2013,2,124,13500,48104
Toyota,2013,3.5,125,23660,48107
Renault,2013,1.5,125,7600,98031
Audi,2013,3,126,48000,6082
Mercedes-Benz,2013,2.2,126,13995,61270
Audi,2013,3,127,17000,13203
Mercedes-Benz,2013,1.8,127,19600,13207
Mercedes-Benz,2013,1.8,127,19600,13210
Mercedes-Benz,2013,1.8,127,19600,13057
Toyota,2013,4.5,128,64000,13210
BMW,2013,3,128,50499,1545
Mercedes-Benz,2013,3,128,55000,32224
Mercedes-Benz,2013,3,128,58500,6040
Volkswagen,2013,1.8,128,19500,13123
Renault,2013,1.5,131,6800,8021
Renault,2013,1.5,135,7100,1520
Renault,2013,1.5,139,7800,1609
Audi,2013,3,140,42900,6071
Renault,2013,1.5,141,11300,53045
Volkswagen,2013,3.6,144,32000,44306
Volkswagen,2013,1.6,144,8900,45255
Mitsubishi,2013,2.5,146,15800,22923
Mercedes-Benz,2013,2.2,147,18000,36830
Volkswagen,2013,1.6,147,13995,37922
Volkswagen,2013,1.6,149,9900,37853
Renault,2013,1.5,149,7900,55429
Renault,2013,1.5,149,10200,97005
Volkswagen,2013,1.4,149,16800,44303
Mercedes-Benz,2013,3,150,62000,44333
Audi,2013,2,150,27500,44240
Volkswagen,2013,2,154,13499,52001
Renault,2013,1.5,157,8500,37922
Mercedes-Benz,2013,3,160,63000,83815
Volkswagen,2013,2,164,14499,78703
Renault,2013,1.5,164,13600,37922
Volkswagen,2013,2,165,14899,3054
Volkswagen,2013,1.4,165,14900,31901
Mercedes-Benz,2013,2.2,167,12500,95746
Volkswagen,2013,2,167,34500,37843
Volkswagen,2013,1.2,168,8800,37932
Renault,2013,2.3,169,14600,37922
Volkswagen,2013,1.4,169,11600,37923
Volkswagen,2013,1.6,170,8950,19360
Volkswagen,2013,1.6,170,10500,94107
Renault,2013,1.5,170,7800,37914
Renault,2013,1.5,171,7100,11793
Mercedes-Benz,2013,2.2,172,13600,37923
